qid,docno,rank,score_x,query,title,label,,
0,6421,0,12.06179513,"An adventure of revenge, brotherhood",Fullmetal Alchemist: Brotherhood Specials,5,,
0,970,1,11.05330653,"An adventure of revenge, brotherhood",Yokoyama Mitsuteru Sangokushi,5,,
0,33080,2,9.026197431,"An adventure of revenge, brotherhood",Brotherhood: Final Fantasy XV,5,,
0,30240,3,7.227365817,"An adventure of revenge, brotherhood",Prison School,3,,
0,1751,4,6.58905177,"An adventure of revenge, brotherhood",Jikuu Bouken Nuumamonjaa,2,,
0,7491,5,6.30609059,"An adventure of revenge, brotherhood",Dragon Quest Retsuden: Roto no Monshou,1,,
0,10391,6,6.30609059,"An adventure of revenge, brotherhood",Kuragehime: Soreike! Amars Tankentai,0,,
0,34962,7,6.160582479,"An adventure of revenge, brotherhood",Digimon Adventure tri. 5: Kyousei,3,,
0,5397,8,6.090317818,"An adventure of revenge, brotherhood",Usavich III,3,,
0,36466,9,6.090317818,"An adventure of revenge, brotherhood",Digimon Adventure tri. 6: Bokura no Mirai,3,,
0,30782,10,6.083310021,"An adventure of revenge, brotherhood",Bikini Warriors,0,,
0,13117,11,6.016498387,"An adventure of revenge, brotherhood",Hakuouki Movie 1: Kyoto Ranbu,3,,
0,22097,12,5.881452532,"An adventure of revenge, brotherhood",Magi: Sinbad no Bouken,4,,
0,6979,13,5.665412589,"An adventure of revenge, brotherhood",Shukufuku no Campanella,1,,
0,37347,14,5.614270005,"An adventure of revenge, brotherhood",Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,2,,
0,34510,15,5.581077026,"An adventure of revenge, brotherhood",Hei Mao Jing Zhang,3,,
0,40228,16,5.581077026,"An adventure of revenge, brotherhood",Bananya: Fushigi na Nakama-tachi,0,,
0,3738,17,5.523347813,"An adventure of revenge, brotherhood",Usavich II,3,,
0,29787,18,5.498644366,"An adventure of revenge, brotherhood",Gochuumon wa Usagi Desu ka??,0,,
0,5272,19,5.466800646,"An adventure of revenge, brotherhood",Tondemo Nezumi Daikatsuyaku,0,,
0,1200,20,5.411399587,"An adventure of revenge, brotherhood",Gun-dou Musashi,3,,
0,3519,21,5.411399587,"An adventure of revenge, brotherhood",Garakuta-doori no Stain,0,,
0,1124,22,5.411399587,"An adventure of revenge, brotherhood",Seikai no Danshou: Tanjou,0,,
0,4051,23,5.251734898,"An adventure of revenge, brotherhood",Net Ghost Pipopa,2,,
0,37348,24,5.247825184,"An adventure of revenge, brotherhood",Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,2,,
0,942,25,5.150425182,"An adventure of revenge, brotherhood",Nishi no Yoki Majo: Astraea Testament,1,,
0,1171,26,5.146664801,"An adventure of revenge, brotherhood",Slayers Excellent,0,,
0,13169,27,5.101222074,"An adventure of revenge, brotherhood",Buta,3,,
0,2577,28,5.101222074,"An adventure of revenge, brotherhood",Tom Sawyer no Bouken,3,,
0,2427,29,5.073317455,"An adventure of revenge, brotherhood",Unico,0,,
0,1166,30,5.052950165,"An adventure of revenge, brotherhood",Sakura Taisen: Gouka Kenran,1,,
0,1018,31,5.052950165,"An adventure of revenge, brotherhood",Majutsushi Orphen: Revenge,3,,
0,1599,32,5.052950165,"An adventure of revenge, brotherhood",Eat-Man '98,1,,
0,4052,33,5.052950165,"An adventure of revenge, brotherhood",Medarot Damashii,1,,
0,2718,34,5.052950165,"An adventure of revenge, brotherhood",Umi no Triton,0,,
0,5267,35,5.052950165,"An adventure of revenge, brotherhood",Gamba no Bouken,1,,
0,23327,36,5.049330723,"An adventure of revenge, brotherhood",Space☆Dandy 2nd Season,3,,
0,7252,37,5.005583269,"An adventure of revenge, brotherhood",Grick no Bouken,1,,
0,5712,38,5.005583269,"An adventure of revenge, brotherhood",Tanoshii Muumin Ikka Bouken Nikki,1,,
0,9924,39,5.005583269,"An adventure of revenge, brotherhood",Shukufuku no Campanella: La Campanella Della Benedizione,0,,
0,37349,40,5.000848487,"An adventure of revenge, brotherhood",Goblin Slayer,2,,
0,2313,41,4.95909617,"An adventure of revenge, brotherhood",Muumindani no Suisei,0,,
0,5440,42,4.95909617,"An adventure of revenge, brotherhood",Ougon Yuusha Goldran,3,,
0,841,43,4.95909617,"An adventure of revenge, brotherhood",Colorful,0,,
0,5096,44,4.868665103,"An adventure of revenge, brotherhood",Doraemon Movie 28: Nobita to Midori no Kyojin Den,3,,
0,2783,45,4.868665103,"An adventure of revenge, brotherhood",Oyayubi Hime Monogatari,1,,
0,7666,46,4.868665103,"An adventure of revenge, brotherhood",Dr. Slump Movie 01: Arale-chan Hello! Fushigi Shima,1,,
0,33672,47,4.82467518,"An adventure of revenge, brotherhood",Doraemon Movie 37: Nobita no Nankyoku Kachikochi Daibouken,2,,
0,1172,48,4.821375271,"An adventure of revenge, brotherhood",Slayers Try,2,,
0,1050,49,4.821375271,"An adventure of revenge, brotherhood",Bobobo-bo Bo-bobo,3,,
0,38062,50,4.791441165,"An adventure of revenge, brotherhood",Endro~!,2,,
0,25173,51,4.781473064,"An adventure of revenge, brotherhood",Xiao Kedou Zhao Mama,0,,
0,9982,52,4.73903778,"An adventure of revenge, brotherhood",Fairy Tail OVA,1,,
0,2524,53,4.73903778,"An adventure of revenge, brotherhood",Jungle de Ikou!,0,,
0,1642,54,4.73903778,"An adventure of revenge, brotherhood",Sugar Sugar Rune,0,,
0,2225,55,4.73903778,"An adventure of revenge, brotherhood",Alps no Shoujo Heidi,0,,
0,1164,56,4.73903778,"An adventure of revenge, brotherhood",Mahou Senshi Louie,1,,
0,3390,57,4.697349091,"An adventure of revenge, brotherhood",Hoshi no Umi no Amuri,2,,
0,1806,58,4.697349091,"An adventure of revenge, brotherhood",Master Mosquiton '99,0,,
0,3858,59,4.697349091,"An adventure of revenge, brotherhood",Konchuu Monogatari Minashigo Hutch,0,,
0,23321,60,4.673677828,"An adventure of revenge, brotherhood",Log Horizon 2nd Season,3,,
0,10790,61,4.656387467,"An adventure of revenge, brotherhood",Kore wa Zombie Desu ka? of the Dead,0,,
0,35740,62,4.656387467,"An adventure of revenge, brotherhood",Doraemon Movie 38: Nobita no Takarajima,2,,
0,1988,63,4.61613405,"An adventure of revenge, brotherhood",Himawari!!,4,,
0,20463,64,4.576570632,"An adventure of revenge, brotherhood",Little Nemo Pilot (1987),1,,
0,596,65,4.576570632,"An adventure of revenge, brotherhood",Chobits: Chibits,0,,
0,4138,66,4.576570632,"An adventure of revenge, brotherhood",Chiisana Penguin Lolo no Bouken,1,,
0,471,67,4.576570632,"An adventure of revenge, brotherhood",To Heart 2,0,,
0,1116,68,4.576570632,"An adventure of revenge, brotherhood",Junkers Come Here,0,,
0,4191,69,4.537679622,"An adventure of revenge, brotherhood",Popolocrois Monogatari,1,,
0,40256,70,4.537679622,"An adventure of revenge, brotherhood",Cannon Busters,2,,
0,606,71,4.537679622,"An adventure of revenge, brotherhood",Kazemakase Tsukikage Ran,1,,
0,1684,72,4.537679622,"An adventure of revenge, brotherhood",Dotto Koni-chan,0,,
0,12711,73,4.537679622,"An adventure of revenge, brotherhood",Uta no☆Prince-sama♪ Maji Love 2000%,0,,
0,139,74,4.499444022,"An adventure of revenge, brotherhood",Hunter x Hunter: Greed Island Final,4,,
0,904,75,4.499444022,"An adventure of revenge, brotherhood",Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da,1,,
0,33478,76,4.499444022,"An adventure of revenge, brotherhood",UQ Holder!: Mahou Sensei Negima! 2,2,,
0,30651,77,4.499444022,"An adventure of revenge, brotherhood",Itoshi no Muco,0,,
0,30030,78,4.499444022,"An adventure of revenge, brotherhood",Jewelpet Magical Change,0,,
0,6511,79,4.499444022,"An adventure of revenge, brotherhood",Chou Seimeitai Transformers Beast Wars Neo,0,,
0,1044,80,4.499444022,"An adventure of revenge, brotherhood",Taiyou no Ouji: Horus no Daibouken,3,,
0,37981,81,4.499444022,"An adventure of revenge, brotherhood",Kaijuu no Kodomo,3,,
0,1313,82,4.499444022,"An adventure of revenge, brotherhood",Digimon Adventure 02,3,,
0,4657,83,4.461847403,"An adventure of revenge, brotherhood",Arad Senki: Slap Up Party,2,,
0,234,84,4.461847403,"An adventure of revenge, brotherhood",Dan Doh!!,1,,
0,25687,85,4.45902501,"An adventure of revenge, brotherhood",Digimon Adventure tri. 1: Saikai,3,,
0,1910,86,4.42487388,"An adventure of revenge, brotherhood",Master Keaton OVA,3,,
0,2298,87,4.42487388,"An adventure of revenge, brotherhood",Mobile Suit Gundam SEED: After-Phase Between the Stars,3,,
0,9330,88,4.42487388,"An adventure of revenge, brotherhood",Dragon Crisis!,0,,
0,1267,89,4.352735172,"An adventure of revenge, brotherhood",Yoroiden Samurai Troopers Message,1,,
0,2963,90,4.317540743,"An adventure of revenge, brotherhood",Minami-ke,0,,
0,16381,91,4.317540743,"An adventure of revenge, brotherhood",Santa Company,0,,
0,1946,92,4.317540743,"An adventure of revenge, brotherhood",Ashita no Nadja,0,,
0,579,93,4.317540743,"An adventure of revenge, brotherhood",Battle Programmer Shirase,2,,
0,12611,94,4.317540743,"An adventure of revenge, brotherhood",Sengoku Collection,1,,
0,9333,95,4.317540743,"An adventure of revenge, brotherhood",Koi☆Sento,1,,
0,7723,96,4.317540743,"An adventure of revenge, brotherhood",Hipira-kun,1,,
0,37744,97,4.31489791,"An adventure of revenge, brotherhood",Isekai Cheat Magician,1,,
0,2392,98,4.282910886,"An adventure of revenge, brotherhood",Doraemon Movie 26: Nobita no Kyouryuu 2006,2,,
0,24231,99,4.282910886,"An adventure of revenge, brotherhood",Hitsugi no Chaika: Avenging Battle,1,,
0,32937,100,4.263223549,"An adventure of revenge, brotherhood",Kono Subarashii Sekai ni Shukufuku wo! 2,1,,
0,396,101,4.248832122,"An adventure of revenge, brotherhood",Seikai no Senki,2,,
0,6718,102,4.248832122,"An adventure of revenge, brotherhood",Yamato 2520,1,,
0,315,103,4.248832122,"An adventure of revenge, brotherhood",Xiao Qian,1,,
0,4726,104,4.248832122,"An adventure of revenge, brotherhood",Druaga no Tou: The Sword of Uruk,1,,
0,1888,105,4.2152914,"An adventure of revenge, brotherhood",Ichigo Mashimaro OVA,0,,
0,2501,106,4.2152914,"An adventure of revenge, brotherhood",Papuwa,1,,
0,1466,107,4.182276079,"An adventure of revenge, brotherhood",Hakugei Densetsu,4,,
0,31678,108,4.182276079,"An adventure of revenge, brotherhood",Long Zhi Gu: Jingling Wangzuo,1,,
0,6712,109,4.182276079,"An adventure of revenge, brotherhood",Natsu no Arashi! Akinaichuu,0,,
0,21,110,4.163501025,"An adventure of revenge, brotherhood",One Piece,4,,
0,1425,111,4.149773909,"An adventure of revenge, brotherhood",Lupin III: Part II,4,,
0,6007,112,4.149773909,"An adventure of revenge, brotherhood",Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,1,,
0,1372,113,4.149773909,"An adventure of revenge, brotherhood",Taiho Shichau zo (TV),0,,
0,959,114,4.149773909,"An adventure of revenge, brotherhood",Shin Chou Kyou Ryo: Condor Hero,1,,
0,1426,115,4.149773909,"An adventure of revenge, brotherhood",Lupin III: Part III,4,,
0,5300,116,4.117773018,"An adventure of revenge, brotherhood",Zoku Natsume Yuujinchou,2,,
0,1512,117,4.117773018,"An adventure of revenge, brotherhood",Court no Naka no Tenshi-tachi,0,,
0,35298,118,4.117773018,"An adventure of revenge, brotherhood",Ramen Daisuki Koizumi-san,0,,
0,445,119,4.117773018,"An adventure of revenge, brotherhood",Tales of Eternia The Animation,2,,
0,2544,120,4.117773018,"An adventure of revenge, brotherhood",Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,1,,
0,22225,121,4.086261899,"An adventure of revenge, brotherhood",Momo Kyun Sword,0,,
0,162,122,4.086261899,"An adventure of revenge, brotherhood",Pita Ten,0,,
0,5940,123,4.086261899,"An adventure of revenge, brotherhood",Seiken no Blacksmith,1,,
0,2286,124,4.086261899,"An adventure of revenge, brotherhood",Little Nemo,1,,
0,462,125,4.055229393,"An adventure of revenge, brotherhood",One Piece Movie 4: Dead End no Bouken,4,,
0,4903,126,4.055229393,"An adventure of revenge, brotherhood",Kyou no 5 no 2 (TV),0,,
0,861,127,4.024664678,"An adventure of revenge, brotherhood",xxxHOLiC,2,,
0,3745,128,4.024664678,"An adventure of revenge, brotherhood",Crayon Shin-chan Movie 02: Buriburi Oukoku no Hihou,0,,
0,2787,129,4.024664678,"An adventure of revenge, brotherhood",Shakugan no Shana II (Second),3,,
0,4382,130,4.024664678,"An adventure of revenge, brotherhood",Suzumiya Haruhi no Yuuutsu (2009),0,,
0,415,131,4.024664678,"An adventure of revenge, brotherhood",Tonari no Yamada-kun,0,,
0,1375,132,3.994557256,"An adventure of revenge, brotherhood",Watashi no Ashinaga Ojisan,0,,
0,3841,133,3.994557256,"An adventure of revenge, brotherhood",Chi's Sweet Home,0,,
0,1777,134,3.994557256,"An adventure of revenge, brotherhood",Kaze no Tairiku,1,,
0,9734,135,3.964896939,"An adventure of revenge, brotherhood",K-On!!: Keikaku!,0,,
0,11079,136,3.964896939,"An adventure of revenge, brotherhood",Kill Me Baby,0,,
0,5760,137,3.964896939,"An adventure of revenge, brotherhood",Dororo to Hyakkimaru,5,,
0,1333,138,3.935673843,"An adventure of revenge, brotherhood",Fushigi na Koala Blinky,0,,
0,1746,139,3.935673843,"An adventure of revenge, brotherhood",Zoids Fuzors,3,,
0,2037,140,3.90687837,"An adventure of revenge, brotherhood",Hime-chan no Ribbon,0,,
0,1184,141,3.878501202,"An adventure of revenge, brotherhood",Lost Universe,2,,
0,37202,142,3.878501202,"An adventure of revenge, brotherhood",Radiant,3,,
0,1035,143,3.878501202,"An adventure of revenge, brotherhood",Patalliro Saiyuuki!,0,,
0,175,144,3.878501202,"An adventure of revenge, brotherhood",Tokyo Underground,2,,
0,22733,145,3.878501202,"An adventure of revenge, brotherhood",Dragon Collection,1,,
0,1132,146,3.878501202,"An adventure of revenge, brotherhood",Digimon Frontier,3,,
0,3638,147,3.878501202,"An adventure of revenge, brotherhood",Kaiketsu Zorori,0,,
0,36028,148,3.850533291,"An adventure of revenge, brotherhood",Golden Kamuy,4,,
0,981,149,3.850533291,"An adventure of revenge, brotherhood",Ichigo 100% OVA,0,,
0,16498,150,0,,Shingeki no Kyojin,3,,
0,11061,152,0,,Hunter x Hunter (2011),5,,
0,121,153,0,,Fullmetal Alchemist,5,,
0,37520,154,0,,Dororo,4,,
0,36649,155,0,,Banana Fish,5,,
0,14719,156,0,,JoJo no Kimyou na Bouken (TV),5,,
0,26055,157,0,,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,5,,
0,37991,158,0,,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,5,,
0,20899,159,0,,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,5,,
