qid,docno,rank,score_x,query,title,genre,label,
1,32526,0,15.11625262,High school idol,Love Live! Sunshine!!,"['Music', 'Slice of Life', 'School']",5,
1,15051,1,14.66741284,High school idol,Love Live! School Idol Project,"['Slice of Life', 'Music', 'School']",5,
1,22189,2,13.28930465,High school idol,Futsuu no Joshikousei ga [Locodol] Yattemita.,"['Slice of Life', 'Comedy', 'Seinen']",4,
1,24997,3,12.60681798,High school idol,Love Live! The School Idol Movie,"['Music', 'School', 'Slice of Life']",5,
1,10321,4,12.38310701,High school idol,Uta no☆Prince-sama♪ Maji Love 1000%,"['Harem', 'Music', 'Comedy', 'Romance', 'School', 'Shoujo']",5,
1,32212,5,12.25057523,High school idol,Ensemble Stars!,"['Music', 'School']",5,
1,34522,6,12.03442379,High school idol,"Wake Up, Girls! Shin Shou","['Music', 'Drama']",5,
1,1327,7,11.7351108,High school idol,Aoki Densetsu Shoot!,"['Action', 'Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Sports']",2,
1,23135,8,11.48719371,High school idol,PriPara,"['Music', 'Slice of Life', 'School', 'Shoujo']",2,
1,1692,9,11.39580873,High school idol,_Summer,"['Drama', 'Harem', 'Romance']",0,
1,29941,10,10.62565582,High school idol,Million Doll,['Music'],3,
1,37178,11,10.58549988,High school idol,Kiratto Pri☆chan,"['Music', 'Slice of Life', 'Magic', 'Shoujo']",3,
1,31890,12,10.54326525,High school idol,Nurse Witch Komugi-chan R,"['Comedy', 'Magic', 'Parody']",3,
1,33572,13,10.37727515,High school idol,Idol Memories,['Music'],2,
1,40266,14,10.2761505,High school idol,Aikatsu on Parade!,"['Music', 'Slice of Life', 'School', 'Shoujo']",3,
1,1694,15,10.23826219,High school idol,iDOLM@STER Xenoglossia,"['Action', 'Comedy', 'Mecha', 'Sci-Fi']",2,
1,38009,16,10.1653108,High school idol,Re:Stage! Dream Days♪,"['Music', 'Slice of Life', 'School']",5,
1,32648,17,9.943205397,High school idol,Handa-kun,"['Slice of Life', 'Comedy', 'Shounen']",0,
1,33899,18,9.902897085,High school idol,IDOLiSH7,['Music'],5,
1,3467,19,9.864696006,High school idol,Nogizaka Haruka no Himitsu,"['Comedy', 'Romance']",4,
1,1516,20,9.820747707,High school idol,Kirarin☆Revolution,"['Comedy', 'Drama', 'Romance', 'Shoujo']",3,
1,34280,21,9.764594972,High school idol,Gamers!,"['Comedy', 'Romance', 'School']",1,
1,4720,22,9.60923497,High school idol,White Album,"['Drama', 'Harem', 'Music', 'Romance']",5,
1,36470,23,9.424489619,High school idol,Tada-kun wa Koi wo Shinai,"['Comedy', 'Romance', 'Slice of Life']",1,
