qid,docno,rank,score_x,query,title,synopsis,genre,review,label
19,32212,0,15.5451174,Anime with an ensemble casts,Ensemble Stars!,"Yumenosaki Private Academy, a school located on a hill facing the ocean. Specializing in boys' idol training, the school has a long history of producing generations of idols for the entertainment world out of the young men overbrimming with talents, like the shining stars in the sky. Due to ""special circumstances,"" you are a transfer student at the school, as well as the only female student there. In fact, you are chosen to be the very first student of the ""producer course,"" and your task is to produce these idols… We hope you will enjoy your journey with the idols you meet at the academy, as well as the vigorous ensemble that together you will make. 
 
(Source: Ensemble Stars! Wikia) ","['Music', 'School']","I would not recommend the Ensemble Stars anime to anyone who is not already acquainted with the characters. 
 
As with most gacha adaptations, the cast is just too big for a first-time viewer to really get attached to them. I don't know how much draw there is for someone not already invested in the boys: The plotline's Kill-la-Kill-meets-idol-boys shtick is entertaining, to an extent, but it takes itself too seriously to really stand out. Additionally, the show is so concerned with giving every boy their screentime that the main story often gets sidelined--or, depending on how you look at it, the show devotes far too much time to the Saturday morning exploits of ""power of friendship!"" Trickstar that fans of other characters or units may be left frustrated. On that note, the show also features episode-long diversions in the plot that can feel completely out of left field. 
 
That said, however, I think this anime adaptation is an absolute treat for anyone who already loves these characters. I have a blast watching new boys show up and bounce off of one another. The show plays up the quirks of its wackier characters in ways that the game and the manga can't quite convey--like Shinobu's constant scrambling and mumbling, Kanata and Mika's adorably odd speech patterns, or the pure visual comedy of Rei scrolling through his social media feed from the inside of his coffin--and it's just a joy to watch. Really, this anime functions more as a fun little companion piece to the game than a strong standalone show. 
 
The art direction and animation are nothing to write home about. There are a couple of faster-moving scenes that are granted a couple more frames' attention (the fight between Koga and Kuro in episode 1 or 2 comes to mind) but even that's pretty standard, comparatively. The interchanging use of both hand-drawn and 3D animation during live performances is a little jarring, but the 3D models are kind of cute, so I don't mind as much. Speaking of the lives, I found the songs the characters performed to be quite catchy, and they stand out quite nicely from the show's regular soundtrack (and the OP, unfortunately). The ED also features interchanging songs from different units that are always a nice treat. It's still one of those ""nice if you already like idol songs/J-pop"" things, I guess. 
 
TL;DR Ensemble Stars is a mediocre, skippable anime, but if you play the game or even just know about the characters in passing from your Tumblr mutual or something it's good fun. 

          
 
       Helpful For you to truly love this Anime, you must be obsessed with discovering Anime characters more than anything else in Anime. The story is good but doesn't have much to it, it's normal. However, you will love this anime if you came to love the characters in it. The characters' personalities, and their appearance, meaning the art and the music in it are the strong points of this anime which can make you like it.  
 
Ensemble Stars is not like any other idol's anime, as it focus mainly on some characters' stories, and sometimes a group of characters together, rather than focusing on a definite story or songs in general. 
 
 
So my overall rating is 7, fairly Good. I enjoyed this anime though I can say not all episodes are equal in preference as some I enjoyed a lot, some were just fine and others were quite normal. But overall I loved most of the characters which made me enjoy watching the anime. Besides, while watching the last episode, there were some tears in my eyes for knowing this is the last moment having memories with these characters whom I loved.. 
 


          
 
       Helpful First, I apologize for my bad english (frenchie desu) 
 
As others people said in their reviews, I would not recommend it if you are not familiar with the game, I feel like if I wasn't familiar with the universe, I would be really lost when watching the anime. 
 
It's kinda sad but I feel like the anime is rushed and I think it's a shame because EnStars has such a good story and deserve better. 
 
From some rumors, I heard there will be 24 (or more) episodes and I honestly think it would have deserved more if they wanted to develop the plot better. 
 
Each characters are really well writed and it's not easy to get to know each of them because there are a lot and the anime rush so much that we don't have time to focus on them. 
 
Plus, I was really happy that Anzu got to be in the anime but I feel like she's not really important in the anime and that really bothers me because in the game she IS really important and way more devolopped. 
 
I don't hate the anime at all and still really happy that we finally get it but i'm a little disapointed, our boys deserved better and i'm sad I can't really show it to my friends to introduce them into EnStars because they will surely be lost in no time.

          
 
       Helpful",5
19,36242,1,12.91697234,Anime with an ensemble casts,TOHO Cinemas x One Piece Film: Gold - Tokubetsu Eizou,"A collaboration between  One Piece Film: Gold  and TOHO Cinemas. It features the One Piece cast in a manga sakuga style batting around ball which then becomes gold colored with the cast gaining their colored anime film's design too. The golden ball then turns into the TOHO Cinemas logo as Luffy holds it out to the viewer. 
 
Eiichiro Oda himself supervised the collaboration to give the most manga-art accurate imagery possible.","['Fantasy', 'Shounen']","TOHO cinema, that's a reoccurring name for Anime movies, they do a lot of collaborations with big names in order to promote their features, so you know they are a big deal. This, of course, and as the title suggests a promotion for the One Piece movie, Film Gold (fantastic movie by the way). 
It was the type of concise and short commercials that tell a lot without having to steal any of your valuable time and in a great way. 
For once, you don't get the reused animation from the product itself, they had this really cool animated sketch drawings of the straw hats kicking a ball from one to another while they all lined up in a straight quadratic formation piercing you in the eye, saying, be the first to watch us on screen.

          
 
       Helpful TOHO cinema, that's a reoccurring name for Anime movies, they do a lot of collaborations with big names in order to promote their features, so you know they are a big deal. This, of course, and as the title suggests a promotion for the One Piece movie, Film Gold (fantastic movie by the way). 
It was the type of concise and short commercials that tell a lot without having to steal any of your valuable time and in a great way. 
For once, you don't get the reused animation from the product itself, they had this really cool animated sketch drawings of the straw hats kicking a ball from one to another while they all lined up in a straight quadratic formation piercing you in the eye, saying, be the first to watch us on screen.

          
 
       Helpful",0
19,103,2,12.54235186,Anime with an ensemble casts,Akazukin Chacha,"Akazukin Chacha is the story of a young magical girl (Mahō Shōjo) named Chacha. Living with her guardian in a cottage on Mochi-mochi mountain is Seravi, who is her teacher and also the fictional world's greatest magician. Chacha is clumsy in casting her spells because, throughout the anime, when she summons something, it often turns out to be something that she didn't mean to cast, for example, spiders (kumo) instead of a cloud (also kumo). At times in the anime when she and her friends are in trouble, however, her spells do work. Living on the same mountain is a boy gifted with enormous strength named Riiya. It is described that Riiya came from a family of werewolves who can instantly change into a wolf whenever they want. Quite far from Mochi-mochi mountain lies Urizuri mountain. Dorothy, also a well known magician in her land, lives in a castle on Urizuri mountain. Living with her is Shiine, her student. Shiine is adept when it comes to casting spells. He is a young wizard and most of his knowledge about magic was taught to him by Dorothy. 
 
The first 2 seasons were originally created by the anime team. Most of the stories in season 3 are based on the manga. 
 
(Source: Wikipedia)","['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Romance', 'Shoujo']","This was the very FIRST Anime I ever saw! ^_^ 
 
I'll never forget it, it came on every day on Cartoon Network, IN ENGLISH DUB (If you can believe that) 
 
The characters are unique! Like for instance, there is a teacher with a whip who will whip the kids if they are bad or mess up (It's not sad, it's done in a comical way). 
 
The story is pretty unique, but isn't the greatest; but it's a lot better than the Manga (Both versions differ in story, yet the Anime adaptation takes place at a school of magic! ^_^) 
 
The theme song is unforgettable! 
 
And the art is great (For it's time)! 
 
Over all I say try to find this rare anime and watch it! 
 
Although you may not be able to find the English dub (It's impossible, I've tried), and you will not be able to purchase this (A DVD set was only released in Japan), If you find it watch it!!!! 
 
Trust me the Japanese version may appeal to you more (Since you have no choice, cause the English dub isn't any where to be found). 
 
Hope you enjoy it just as I enjoyed it as a little girl! ^_^

          
 
       Helpful There aren't many reviews for this show, so here's another. 
This is a pure comedy, so the story isn't really a focus in any way, but let's cover everything: 
 
Storyline wise, Akazukin Chacha, or ""Little Red Riding-Hood"" Chacha, is decent at best. Over the course of the series itself, it attempts to construe a vague, generic demon-king versus royal family/heroes of the land type of story. And it does a very good job of achieving what it set out to do, which is to both have an excuse to fight enemies over the course of the show, and to cause conflict during the episodes, giving the characters something to react to. - 4 
 
Art in the show is arguably pretty good for the date and presumable budget. It takes a lot of money to make animation, and it's artwork is at a far better level of quality than some more popular anime that came out even a year or two later. (Detective Conan, for example). And it's about equal to others, like Dragonball. 
That said, it's nothing special. They did a very good job at distinguishing characters, but really they only animated the ones from the manga. It's obvious they made a good effort for comedic impact, though. Who can forget Principal Urara's eyes? - 6 
 
For sound, we have some adequate background music, nothing too memorable. It plays in the correct moments and doesn't feel contrived, so there's that. There are also the highlights like the ""Team Theme"" and the ""Panda Song"". The opening and ending songs are another story, and are excellent pieces of music. Both the opening, which never changes, and the latter two endings are catchy, fun and upbeat, all in a good way, just like the show's tone. The second ending is especially good, and extremely catchy, definitely worth listening to on an MP3 player. - 7 
 
The characters are a strong point of this anime. You have the blunt, selfish and frankly ""beepy"" (Think Ayumi from Conan or Hikase from Nichijou) Chacha herself, who the show would suffer a lot from without. Though that would go for most show's main characters, heh. Her lines, reactions, blunt and selfish verbal assaults are honestly some of the funniest parts of the show. If you don't like her, which I find really hard to believe, (maybe you just don't understand how she is and think she's coming off as annoying? I pity you if so), chances are you won't like the rest of the show. 
 
The brave, always hungry and a little dense, werewolf Riiya. His voice actor (someone from a boy band) did a great job, and suited him like no one else ever could have, making him sound at varying times energetic, a little slow on the uptake, lazy, cowardly, and bold.  
 
The wizard in training, the good boy Shiine-chan. (Soujiro and Sera Masumi in the Kenshin and Conan anime series, respectively), is always hilarious. From his vain attempts to show off in hopes of impressing Chacha, his love for work and study, his secret perverted ways, and his adorably-embarrassed side, you'll probably come to like Shiine-chan. 
 
Then there's Seravy-sama, the greatest wizard in the world. He's humorously superior, lacks common sense sometimes, and has a big thing for blonde curly hair and his favorite doll, which might actually be alive, Lizbeth. 
From his ""just-passing-through"" disguises (""I'm only a just-passing-through master pastry chef!""), to his slightly negligent but mostly responsible upbringing of Chacha, and the way they fit each other like a glove, he's a very likable, enjoyable character that'll have you laughing along with his antics. 
 
The rest of the characters, Yakko, Marin, Orin, Rascal-sensei (Kindaichi from Kindaichi Case Files), are all characterized well and have matching seiyuu. In fact, I can't think of one seiyuu that doesn't fit their role perfectly, and they all seemed to have fun with the show, too, which is another pro. The crew got lucky with the cast, for sure. - 8 
 
The real enjoyment are the jokes. There's slapstick humor, sure, and plenty of it, but the most hilarious part is the interactions between the characters and the way they react to things. If seeing Chacha tear up because Riiya accidentally called her a fool, and then in the next episode turn around and insult both of her friends like it was perfectly natural like the comicly selfish person she is, or watching kids get drunk and summoning a bunny-dragon to take down the bad guys, or finding out Chacha can rewind and playback memories in slow motion (that was a classic), is not your idea of humor, then the show probably isn't for you. 
If it is, though, you'll find it absolutely hilarious, because it does an outstanding job at that specific type of humor. - 10 
 
Overall I give this series an 8. 
 
 
 
 
 
 
 


          
 
       Helpful This series is really cute and funny. there's quite a love triangle here. It's also magical...  
 
i actually watch this since i was a kid.. i really love it.. 
 
I recommend it to the children who loves watching comedies...

          
 
       Helpful",0
19,1885,3,11.70823532,Anime with an ensemble casts,Master of Epic: The Animation Age,"Over millions of years, there have been many ages - war, gods, and future to name a few. Each of these was infinitely less exciting than the current Animation Age! In this RPG-esque existence, becoming stronger is paramount to one's survival and leveling up is a must. From pacifists to news casting, from fishing woes to love advice, there's nothing the Animation Age can't show or teach us about life in a game world! Armed with healing spells, changes of clothes and plenty of summoned familiars, the characters of Master of Epic will do what it takes to level up and live to fight another day! 
 
(Source: Anime-Planet)","['Fantasy', 'Game', 'Comedy']","Comedy is such a broad genre. It can be slapstick, it can be subtle, it can be dark, it can be most anything you want it to. As it stands, this form of comedy, which I will call sketch comedy from now on, is something I have had little interaction with so far (in the anime world that is). And as such, it dawns on me that this review will be exceedingly hard... or maybe exceedingly simple depending on your point of view. This is because, Master of Epic... or sketch comedies in general, only have one real requirement... Comedy. Characters are there, but don't really need much personality. They usually have one simple trait for the sketch they are involved in. And plot is basically non existent. So its hard to rate something like this (if I'm trying to be as un-biased as possible), when comedy is purely based on the viewer in question. But I will try my best: 
 
Mast of Epic: The Animation Age is an anime based on a Japanese MMORPG called... well Master of Epic. The game hasn't been released outside of Japan so don't bother looking for it. This anime was made really to promote the game itself, and so is quite good in explaining small facets of the game itself. At the beginning of every episode a small explanation is given of a certain game trait, and the rest of the episode tends to be kind of themed around that first point. Also after every skit, a little ""the more you know"" style factoid will pop up and explain a little something from the previous skit. As an advertisement agent, this thing is actually quite effective... But considering you probably have no way of getting the game, thats not really a big point is it... How does the humor hold up eh? Wellll... 
 
Master of Epic does quite well in the humor department. Although it is based on one particular MMORPG, it does a very good job of satirizing many of the small idiosyncrasies common to most RPG's. Some examples include going AFK, being resurrected from death, random monster spawn, combat and non-combat skills etc etc. It has some other jokes too, but really you will probably want to be somewhat of an RPG fan... or at least understand RPGs to find a lot of this funny. Still, as a fan myself, I found the humor to be quite simple but effective. 
 
Ummmm and that's it really. The music isn't that great, but the art is pretty good for a little known show like this.  Its sad to see that so few people have managed to find this little gem, because its really quite good. As a sketch comedy, I honestly can find nothing wrong with it. Characters are simple but memorable enough, the comedy is funny, there are 7 or 8 repeating sketches that you can enjoy every time they come back. All in all, if you like RPGs, and like this kind of un-connected random comedy, then you'll definitely like Master of Epic. 

          
 
       Helpful To be honest, I thoroughly enjoyed this series, and I personally watched the hell out of it a few times already, but this show is utter garbage. The characters are flat one dimensional, even when they are portraying different archetypes of people you encounter in  games. 
 
The show is set as skits, and they are very nonsensical, and they draw on the nonsense to go about getting you to laugh, I didn't laugh much at the skits and their premises much, however, they did have one segment i enjoyed a lot and those where wenever the Waragetcha 5 showed up. 
 
The art... honestly is pretty bland, definitely felt like a low budget anime, but then again when i did check out the game the anime was promoting... the art style matched the game well. 
 
Music was not really worth mentioning as it wasn't really memorable... maybe except the intro to the waragetcha 5 only because it is such a self poking song. 
 
All in all, the humor and the premise of this show caters a really narrow number of people, and i can't say i know people who could enjoy this show... unless they are into bad gags and some weird slapstick comedy. The show doesn't take itself seriously, almost as if it knows it's bad, which is probably what drew me into watching the show...  having a feeling that the staff did the show just for the giggles. 
 


          
 
       Helpful Comedy is such a broad genre. It can be slapstick, it can be subtle, it can be dark, it can be most anything you want it to. As it stands, this form of comedy, which I will call sketch comedy from now on, is something I have had little interaction with so far (in the anime world that is). And as such, it dawns on me that this review will be exceedingly hard... or maybe exceedingly simple depending on your point of view. This is because, Master of Epic... or sketch comedies in general, only have one real requirement... Comedy. Characters are there, but don't really need much personality. They usually have one simple trait for the sketch they are involved in. And plot is basically non existent. So its hard to rate something like this (if I'm trying to be as un-biased as possible), when comedy is purely based on the viewer in question. But I will try my best: 
 
Mast of Epic: The Animation Age is an anime based on a Japanese MMORPG called... well Master of Epic. The game hasn't been released outside of Japan so don't bother looking for it. This anime was made really to promote the game itself, and so is quite good in explaining small facets of the game itself. At the beginning of every episode a small explanation is given of a certain game trait, and the rest of the episode tends to be kind of themed around that first point. Also after every skit, a little ""the more you know"" style factoid will pop up and explain a little something from the previous skit. As an advertisement agent, this thing is actually quite effective... But considering you probably have no way of getting the game, thats not really a big point is it... How does the humor hold up eh? Wellll... 
 
Master of Epic does quite well in the humor department. Although it is based on one particular MMORPG, it does a very good job of satirizing many of the small idiosyncrasies common to most RPG's. Some examples include going AFK, being resurrected from death, random monster spawn, combat and non-combat skills etc etc. It has some other jokes too, but really you will probably want to be somewhat of an RPG fan... or at least understand RPGs to find a lot of this funny. Still, as a fan myself, I found the humor to be quite simple but effective. 
 
Ummmm and that's it really. The music isn't that great, but the art is pretty good for a little known show like this.  Its sad to see that so few people have managed to find this little gem, because its really quite good. As a sketch comedy, I honestly can find nothing wrong with it. Characters are simple but memorable enough, the comedy is funny, there are 7 or 8 repeating sketches that you can enjoy every time they come back. All in all, if you like RPGs, and like this kind of un-connected random comedy, then you'll definitely like Master of Epic. 

          
 
       Helpful",0
19,1037,4,11.11435747,Anime with an ensemble casts,Saint Beast: Seijuu Kourin-hen,"The seal which was imprisoning the fallen angels, Kirin no Yuda and Houou no Ruka, is broken and the two decide to get revenge on the God who had cast them to Hell by getting rid of the Heavens that had once been their home. Soon the guardian angels on Earth begin disappearing, and no one in Heaven can explain the happenings. But there is a sense of a vengeful animal spirit at work, and so the four Saint Beasts are called upon to investigate. 
 
The 4 Gods of Beasts attempt to rescue the guardian angels, as well as to find out what this evil animal spirit is... 
 
(Source: Wikipedia)","['Action', 'Supernatural', 'Magic', 'Fantasy']","I was expecting quite a lot from this anime, and I didn't get it. The characters are attractive, the story sounded interesting enough on paper, but it just lacked style. Some of the scripting is so forced and unrealistic that it just makes you squirm with embarrassment. And the fight scenes...erm...they got glossed over. The scenarios and the plot were far too &quot;convenient&quot;, pushing the bishounen characters into situations where they could touch each other endearingly (aka inappropriately, yahoo!) and struggle with their inner most feelings (aka lots of angst). 
Saint Best is a bishounen-fest. There isn't really much else to recommend it. There are only ( I think) 2 female characters in it; a goddess who seems to need her strapping lads to do everything for her and a midget angel that bounces about thinking she's being very cute (aka putting &quot;dechu&quot; on the end of every sentence - argh!) 
If you're happy with just looking at the characters (lets be fair, they do look nice) then go for it, but I recommend turning off the audio and subs, because otherwise you'll spend a lot of time cringing.

          
 
       Helpful Don't expect more than light shounen-ai fluff out of this one -- you'll be disappointed. Story-wise, there isn't much to see here. The first few episodes are monster of the day type encounters that are supposed to give us some insight into the main characters (while simultaneously placing them in position to be slashed with each other.) The story picks up in the last two episodes, at which point it promptly ends without actually coming to a conclusion. The action is scant, and consists mainly of posed characters dashing across the screen making slashing attacks that do more damage to clothing than to anything else. That is, of course, when they bothered animating the action at all. In several instances the fighting takes place off screen, while the other characters comment on the battle. This ended up being very irritating; luckily, there's hardly any fighting that doesn't start and end in an energy blast after the second episode. 
 
The characters themselves, while terribly attractive, aren't anything special. They follow standard bishounen archetypes: Gou is the strong-willed, stoic leader, Shin the quiet, wise one (and he's got the spectacles to prove it,) Rei is bizarrely effeminate and sensitive, and young Gai is the head-strong, childish type. There isn't sufficient back-story to make any of the characters particularly sympathetic, and the attempts at placing them in relationships are weak and somewhat tawdry. ""One time he was nice to me!"" *blush*  
 
I wanted more out of this series, especially with such a great cast and an appealing premise (I get a kick out of angelic pretty boys,) but I was left unsatisfied. If you happen to have exhausted your supply of bishounen lovin' and need some RIGHT NOW, go ahead and give this a gander. Otherwise, move along. Nothing to see here.

          
 
       Helpful",1
19,34670,5,10.37411827,Anime with an ensemble casts,Monsuto Anime,"Second season of  Monster Strike , animated entirely in CG.  
 
A transfer student from America, Mana Livingston, becomes friends with the main cast and learns about the  Monster Strike  game, even obtaining her own ring and partner. Together everyone helps solve crises involving the energy points that draw monsters in random areas of Japan. By sealing them the monsters will stop being drawn to them. But Madarame, a CEO who reaches out to the children, is not telling them the whole truth.","['Action', 'Fantasy', 'Game']","After season one ended, monster strike added 2 movies and 2 OVAs. These helped to change the animation style and helped the stories as well. You may not understand what is going on unless you watch Pandora and episode 0 (where oragon comes back). 
The first season struggled with episode length. While an episode was 8 minutes, the show only had 6 minutes of runtime, with 2 minutes of nonsense. While the anime progressed, the length increased from 8 minutes to 13, however, there was still a lot of nonsense after an episode ended.  Season 2 seems to have changed this and almost the entire episode is an episode (compare season 1 ep 1, and season 2 ep 1, and you'll understand what I mean. 
The anime style has completely changed from the first season. Usually, movie animations are crisper, which is fine for a short amount of time. However, the entire season has a crisp feel to it, and it can become hard to watch.  
With the end of season 1, I was sure XFLAG didn't have more content to deliver. However, I a happy to have been proven wrong. Season 2 adds more characters, more monsters, and a new storyline that blend smoothly with the first season. There is now time for character development, and it is very enjoyable.  
The first season did a great job of breaking the 4th wall, but it would get really annoying at times (again, more nonsense). The second season, on the other hand, has limited the breaking of the wall to a minimum, which is a huge plus.  
Overall, I really enjoyed this anime. Other reviews across the internet tend to bash this anime. The issue is that those reviewers played the game before the anime came out, and it didn't live up to their expectations. I still have not played the game, so I really enjoy this anime. I would personally recommend watching season 1 and the OVAs, before playing the monster strike game. But that's just my honest opinion.  
Now, it's on to season 3! 
-JNutt22

          
 
       Helpful",0
19,37662,6,9.476423805,Anime with an ensemble casts,Shinya! Tensai Bakabon,"The pinnacle of gag manga as well as one of Akatsuka Fujio's most renowned works, ""Tensai Bakabon"" returns after 18 years since its last anime with Director Hosokawa Toru's new original story! 
 
Bakabon and his family, who made the phrase ""This is how it should be"" famous, are back along with the eccentric cast of Mr. Policeman, Rerere no Ojisan and Eel-Dog letting loose in a much more modern setting! 
 
The new frontier of ""Bakabon"" that'll take place in a late-night slot is about to begin, 10 years after Akatsuka Fujio's death. 
 
(Source: Crunchyroll)","['Slice of Life', 'Comedy']","I started this anime because of it's relation to Osomatsu-san anime, I think you guys can understand by what I mean here. Also, surprisingly I enjoyed it because of the various guests that I recognized. That and the casting (popular actors) that's involved. 
However let's cut to the chase here. This anime was a 4/10, maybe at best 5/10 in overall. With such minimum enjoyment, it's something I wouldn't re-watch or recommend at all. 
 
Story - 5.  
Being slightly misled by the first episode but that was probably to built some extra atmosphere for the rest. It doesn't keep the same expectation afterwards. Obviously there's really no story but just ""gags"". Only one part had me sincerely laughing which was the ""shit"" otome visual novel part.  
 
Art/Sound - 5.  
Yes, it's neon purple and it's even been simplified to literal 1-D once. It made up for some random CGs / change of pace to ""freshen"" it up throughout the series. If it was left as it is, this could've been less than a 4.  
Forget the music, except the one part that caught me off-guard being ""Merry Christmas Mr. Lawrence"", very unexpected and pleasant. 
 
Character - 4. 
Not much to say, it's just simply gag-repetition per character. [Although I've enjoyed seeing guests being included in the series, a minority does not represent the majority. I would give it a 6 for this though.] 
 
It might not be my cup of tea and definitely not a personal recommendation, I guess it's something you can ""try"" regardless. 

          
 
       Helpful Don't base your commitment to watch the entire series on the unrepresentative first episode: If you came here expecting a spiritual successor to Osomatsu-san, you will be sorely disappointed. Both Shinya Tensai Bakabon and Osomatsu-san may be modern reinterpretations of Fujio Akatsuka's classic works, but Bakabon completely fails to catch Osomatsu's momentum, insultingly incapable of recreating its wit or boldness. 
 
An overwhelming number of skits has the main characters stubbornly resist to come up with jokes or situations where something funny could happen. Instead, they sit around spitballing what they could do this episode, only to reject each other's lazy ideas by saying they'll get in trouble with the broadcaster. This would be a little less inexcusable if this was a 10-minute improv format like gdgd Fairies/gd Men. Referential humor is a debatable topic, but even if you like it, you'll get sick and tired of the characters constantly breaking the 4th wall by calling out that they're only tiptoeing around a reference without committing to it. It's as if Family Guy was about to make one of their infamous manatee jokes, but before they can even cut to the unrelated scene, someone interrupts and yells ""No we can't do that on tv!"". The characters also often address that the show has no budget, that they don't want to animate anything, that their broadcasting station is shit, and that they don't expect people to watch it anyway - and that's usually supposed to be the whole punchline. Similarly, when a famous voice actor shows up, the punchline is always the heavy lampshading of the cameo, and that it serves no other purpose other than having the voice actor on the show at all (paraphrased: ""Hello I am indeed THE famous Hiroshi Kamiya, hey wait why is my cameo already over???""). 
The writers probably couldn't come up with proper comedy situations because they kept the characters from 50 years ago as-is, instead of reinventing them like they did it with the formerly indistinguishable sextuplets from Osomatsu-kun. Worst of all: The two most flanderized characters, Bakabon's Papa and Mr. Policeman, take up the majority of the screen time while (slightly) more versatile characters like Bakabon, Mama and Hajime hardly ever show up at all. Even Eeldog shows up relatively rarely, even though he is the only designated straightman to Bakabon's Papa's stupidity. 
 
In summary, Shinya Tensai Bakabon is an offensively pointless, self-referential comedy about outdated caricatures that relies too much on 4th wall breaking and nostalgia for an era that almost nobody in the Western anime community can relate to.

          
 
       Helpful Such an underrated show in my opinion. The fact that it has a 5 rating (which I agree with in certain terms) makes me sad, and the fact that almost no one watched it makes me sad as well. 
 
Was this show an amazing show which doesn't deserve the score at all? I would so about 20% no, the other 80% says Yes. The series is legit just dumb fun. It makes meta jokes and constant dirty humor. However I think the show accomplished what it set out to do. To be just plain stupid. Honestly the about of screenshots of the dumb shit the characters say in the show is way to much.  
 
Honestly this might just not be your kind of humor and you just might find it annoying, weird, and say to yourself wtf is this then I don't blame you. However I do think this series is something worth giving a try and seeing if you might like it or not, because I tried it and I loved it. 

          
 
       Helpful",0
19,7805,7,9.453313318,Anime with an ensemble casts,Baka to Test to Shoukanjuu: Mondai - Christmas ni Tsuite Kotae Nasai,The cast of Baka to Test all get together and tell us what Christmas means to them. Joy!,"['Comedy', 'Romance']","I'm not going to tell you what the special is about, because you could just find that on the synopsis. This special was dull. First off, it was only four minutes. They should've made it into a  Christmas themed episode, not just four minutes of characters saying what they like about Christmas. Second off, all the dialogue for the characters, other than the FFF (those guys who are dressed in the black KKK outfits) who's responses vary on the character, is EXACTLY THE SAME! For example, when Himeji said what she liked about Christmas, they said that Christmas is a time to celebrate the birth of Christ, not love. On the other hand, when Hideyoshi said the SAME EXACT THING, they said, ""HIDEYOSHI PLEASE DATE ME!!!"" And the pattern goes on like that. It's not really worth your time, but if you're obsessed with Baka and Test then you might want to watch it. 

          
 
       Helpful This is a four minute short that basically consists of minute clips of several characters saying what makes Christmas important to them. 
 
The odd part about it is how the...format of the clip  is the same for every character, regardless of gender... 
 
Very odd little special. If you like Idiots & Tests, I guess it's worth your 4 minutes?

          
 
       Helpful",1
19,3720,8,9.323467711,Anime with an ensemble casts,Jack to Mame no Ki,"An old fairy tale gets some new wrinkles in this fanciful animated adaptation. After young Jack is conned into trading his family's prize cow for a handful of beans, he plants them and discovers they produce a magical vine that rises through the clouds. Climbing the beanstalk, Jack encounters a strange and remarkable world ruled by the magical Princess Margaret. The princess is in love with Prince Tulip despite his unattractive features and harsh personality, but as it turns out, this is the work of Madam Noir, an evil witch who has cast a spell on the princess so she will marry Tulip, her only son. Can Jack help the princess avoid this awful fate? Directed by Japanese animator Gisaburo Sugii, this free adaptation of Jack and the Beanstalk has won a cult following for its fanciful story and wildly colorful design. ","['Fantasy', 'Kids']","A feature-length re-telling of the classic fairy tale.  But in order to pad it out to a full ninety minutes, this version adds in a few extra characters and an extra sub-plot storyline involving the giant's evil mother, his magically-enchanted betrothed, Jack's dog and a whole bevy of mice.     
   
Overall, it's a fair-to-middlin' movie, with a story and animation that is aimed squarely at the pre-teen audience.  Even though this is billed as an 'anime' movie, most movies that were created in this time period still had a very heavy Disney influence and did not contain many (if any) of the normal anime tropes and quirks we are used to from today's anime offerings.     
   
Also, even though this is billed as a ""musical"", it's actually a bit light on the musical numbers. And nothing really memorable, either.

          
 
       Helpful This is one of the weirdest, funniest, scariest movies I have ever watched. I first watched it as a kid, watching it every time I went to my grandparents. I haven't watched it since then, and was recently reminded of it, so I watched it again and wondered what the hell the people were on when they made this!!! Apart from the epic backing music, the storyline is crazy and sometimes you're left watching the screen blankly. I unexpectically still love this movie. It's quite worrying at times but I suggest you watch this seeing as you'll never watch anything else like it!

          
 
       Helpful",0
19,1911,9,9.275760985,Anime with an ensemble casts,Top wo Nerae! & Top wo Nerae 2! Gattai Movie!!,"This double feature comprises of Gunbuster and Die Buster (aka Gunbuster 2) condensed into a single theatrical release told in two parts with a musical intermission in between. The first part, Gunbuster the Movie, condenses the six episodes of the original OVA into a 95-minute movie featuring a new 5.1 audio remix and a redub by the original Japanese cast. The second part, Die Buster the Movie, mixes large chunks of the second OVA series with a few altered or newly-animated scenes to create a truncated take on Nono's story. 
 
(Source: ANN)","['Comedy', 'Mecha', 'Shounen']","Recommendation: Watch the original series instead.  This is basically a long summary with nothing new whatsoever, so only come here if you're looking for a quicker rewatch.  
 
Starting out, I wondered if I could get away with simply watching these movies instead of the series considering that they both reflected the same story. I knew the series would have more material, but maybe these newer movies might have updated visuals, or might tell the story better or at least more succinctly?  Unfortunately, no: I'm pretty sure the movies have no new scenes, the visuals are the same, and the plot moves past succinct here.   
 
Both series are condensed enough, but these movies condense past the point of comfort. With all the cutting they had to do, scenes jump around a bit more than they should. The brunt of the action's there, but the development to that action, and especially the reasoning for that action suffers in the movies. 
  
But please do try the original series!  They already have excellent reviews on MAL, so I won't unnecessarily delve into them here.  But I'll just say this: if you don't like Gunbuster (Top wo Nerae), please still give the significantly more modern sequel a chance (but do know that although the stories and characters of the two OVAs are mostly separate, you'll enjoy Diebuster (Top wo Nerae 2) more having first finished its predecessor.  It's a spoiler to say why).  Dazzling protagonists that evolve well throughout each episode... rare beasts indeed, but we find one in both.  Come back for these compilation movies only if you get the urge to rewatch both of these underground gems.

          
 
       Helpful",1
