qid,docno,Rank,BM25 score,Title,Genre,label
24,1726,0,13.7180594,Devil May Cry,"['Action', 'Demons', 'Fantasy']",0
24,1486,1,11.2156983,Kodomo no Omocha (TV),"['Comedy', 'Drama', 'Romance', 'Shoujo']",0
24,30778,2,10.8484461,Fairy Tail Movie 2: Dragon Cry,"['Action', 'Adventure', 'Comedy', 'Magic', 'Fantasy', 'Shounen']",0
24,1485,3,10.4726413,Akachan to Boku,"['Comedy', 'Drama', 'Shoujo']",1
24,1153,4,9.69325704,Crying Freeman,"['Action', 'Police', 'Martial Arts', 'Romance', 'Drama', 'Seinen']",0
24,1059,5,9.07128054,Mutant Turtles: Choujin Densetsu-hen,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Super Power']",0
24,15059,6,9.01493459,Initial D Fifth Stage,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",4
24,2823,7,8.75153724,Barbapapa,"['Fantasy', 'Comedy']",2
24,275,8,8.5808771,Love♥Love?,"['Ecchi', 'Comedy', 'Harem', 'Romance']",0
24,8241,9,8.5050604,Rio: Rainbow Gate!,"['Game', 'Comedy', 'Ecchi']",0
24,6793,10,8.44138707,"Kuroshitsuji: Sono Shitsuji, Kougyou","['Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']",0
24,2891,11,8.42338585,Iblard Jikan,['Fantasy'],0
24,28069,12,8.2683687,Shigatsu wa Kimi no Uso: Moments,"['Music', 'Shounen']",0
24,25857,13,8.01144156,PriPara Movie: Mi~nna Atsumare! Prism☆Tours,"['Music', 'Shoujo']",0
24,8986,14,7.83236988,Supernatural The Animation,"['Action', 'Demons', 'Horror', 'Supernatural']",2
24,34792,15,7.74769525,Yoake Tsugeru Lu no Uta,"['Adventure', 'Music', 'Supernatural', 'Fantasy']",3
24,19111,16,7.70481374,Love Live! School Idol Project 2nd Season,"['Music', 'School', 'Slice of Life']",3
24,37623,17,7.70305024,Chiisana Eiyuu: Kani to Tamago to Toumei Ningen,"['Action', 'Adventure', 'Drama', 'Fantasy']",2
24,21421,18,7.70144421,Mahou Shoujo Taisen,['Magic'],2
24,36951,19,7.6359985,Yuu☆Yuu☆Hakusho: Two Shots/Noru ka Soru ka,"['Action', 'Adventure', 'Comedy', 'Demons', 'Supernatural', 'Martial Arts', 'Shounen']",0
24,5258,20,7.56018917,Hajime no Ippo: New Challenger,"['Comedy', 'Sports', 'Drama', 'Shounen']",0
24,101,21,7.54977473,Air,"['Slice of Life', 'Supernatural', 'Drama', 'Romance']",5
24,2406,22,7.45234826,Sazae-san,"['Slice of Life', 'Comedy']",2
24,10257,23,7.39081966,Pretty Rhythm: Aurora Dream,"['Slice of Life', 'Sports', 'Music', 'Shoujo']",5
24,297,24,7.38497293,Grenadier: Hohoemi no Senshi,"['Action', 'Ecchi', 'Adventure', 'Comedy', 'Shounen']",0
24,2937,25,7.31188048,Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi,['Shoujo'],0
