qid,docno,Rank,BM25 score,Title,label
27,35928,0,15.1839616,Devils Line,5
27,6920,1,14.5768231,Blade,3
27,28929,2,12.9529956,Vampire Holmes,3
27,31758,3,12.2726343,Kizumonogatari III: Reiketsu-hen,3
27,10197,4,11.9007775,Nyanpire The Animation,2
27,1720,5,11.45932,To Heart 2 OVA,0
27,3125,6,11.4545408,Tokimeki Tonight,5
27,5081,7,11.2533895,Bakemonogatari,5
27,6999,8,11.0912253,Tennis no Ouji-sama: Another Story - Kako to Mirai no Message Specials,0
27,31757,9,11.0506401,Kizumonogatari II: Nekketsu-hen,3
27,5226,10,10.9662001,Souten Kouro,0
27,11005,11,10.3838122,Holy Knight,4
27,732,12,10.2486401,Vampire Hunter D,4
27,33985,13,10.2019969,Bloodivores,3
27,6747,14,10.0999399,Dance in the Vampire Bund,3
27,7724,15,10.0469949,Shiki,2
27,27,16,9.9816296,Trinity Blood,2
27,543,17,9.94600259,Vampire Hunter D (2000),4
27,315,18,9.93236859,Xiao Qian,2
27,8287,19,9.89646425,SD Gundam Sangokuden Brave Battle Warriors,0
27,1384,20,9.72282717,Kyuuketsuhime Miyu,2
27,2583,21,9.68311577,Soukou Kihei Votoms: The Last Red Shoulder,0
27,7465,22,9.6325495,Eve no Jikan (Movie),0
27,25879,23,9.55233302,Working!!!,0
27,8536,24,9.49614703,Fortune Arterial: Akai Yakusoku,5
27,23903,25,9.3625409,Tuzki: Love Assassin,0
27,300,26,9.26862175,3x3 Eyes,3
27,347,27,9.09545855,Wild Arms: Twilight Venom,2
27,621,28,9.07097249,Night Walker: Mayonaka no Tantei,3
27,195,29,9.06665701,Onegai☆Teacher,1
27,7723,30,9.02233592,Hipira-kun,2
27,11077,31,9.02233592,Hellsing: The Dawn,2
27,105,32,9.00127725,Boys Be...,0
27,6987,33,9.00127725,Aki-Sora,0
27,18277,34,8.97180175,Strike the Blood,3
27,4182,35,8.94878503,Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,0
27,22819,36,8.94878503,Aikatsu! Movie,0
27,343,37,8.70765644,Tsukuyomi: Moon Phase,5
27,2951,38,8.65700099,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,0
27,28025,39,8.60699636,Tsukimonogatari,3
27,600,40,8.60699636,Legend of Duo,2
27,270,41,8.5755389,Hellsing,3
27,6408,42,8.56875176,"""Bungaku Shoujo"" Movie",0
27,506,43,8.56875176,Glass no Kamen,0
27,28927,44,8.5465021,Owari no Seraph: Nagoya Kessen-hen,3
27,24,45,8.36307492,School Rumble,0
27,3457,46,8.32109996,Vampire Knight,5
27,20517,47,8.25333851,Little Busters!: EX,1
27,148,48,8.21079329,Kita e.: Diamond Dust Drops,0
27,1805,49,8.1151797,Master Mosquiton,3
27,26243,50,8.02990572,Owari no Seraph,2
27,29974,51,7.91845335,"Diabolik Lovers More,Blood",4
27,4752,52,7.84462339,Vampire Knight: Guilty,5
27,9750,53,7.8137154,Itsuka Tenma no Kuro Usagi,5
27,3037,54,7.74181676,GS Mikami: Gokuraku Daisakusen!!,0
27,1498,55,7.70101811,Black Blood Brothers,2
27,14749,56,7.66155259,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,0
27,2476,57,7.58011063,School Days,0
27,2927,58,7.50098878,KimiKiss Pure Rouge,0
27,777,59,7.42902366,Hellsing Ultimate,2
27,1806,60,7.40129807,Master Mosquiton '99,2
27,9260,61,7.39636935,Kizumonogatari I: Tekketsu-hen,4
27,12711,62,7.37350422,Uta no☆Prince-sama♪ Maji Love 2000%,0
27,19195,63,7.29020142,Koukaku Kidoutai Arise: Ghost in the Shell - Border:4 Ghost Stands Alone,0
27,469,64,7.20631695,Karin,5
27,13185,65,7.19173494,Juusen Battle Monsuno,0
27,2966,66,7.18004141,Ookami to Koushinryou,0
27,877,67,7.0399386,Nana,0
27,3076,68,7.03023385,Bishoujo Senshi Sailor Moon SuperS Specials,0
27,2993,69,7.02578679,Rosario to Vampire,4
27,1858,70,6.96550465,Gakuen Utopia Manabi Straight!,0
27,1592,71,6.95951767,Hataraki Man,0
27,4262,72,6.90414137,Koihime†Musou,0
27,16049,73,6.86601497,Toaru Kagaku no Railgun S,0
27,19685,74,6.83320696,Kanojo ga Flag wo Oraretara,0
27,32998,75,6.82191069,91 Days,0
27,958,76,6.64175208,HeatGuy J,0
27,21939,77,6.60962399,Mushishi Zoku Shou,0
27,38680,78,6.5810283,Fruits Basket 1st Season,0
27,30383,79,6.5810283,Classroom☆Crisis,0
27,2251,80,6.56874228,Baccano!,0
27,2315,81,6.49095733,Injuu Alien,0
27,1765,82,6.48809891,Vampire Sensou,2
27,1327,83,6.47856094,Aoki Densetsu Shoot!,0
27,36793,84,6.44907622,3D Kanojo: Real Girl,0
27,50,85,6.44276079,Aa! Megami-sama! (TV),0
27,258,86,6.43844895,Hitsuji no Uta,3
27,1492,87,6.38784864,Project ARMS,0
27,27821,88,6.37169203,Fate/stay night: Unlimited Blade Works Prologue,0
27,691,89,6.34848349,Yawara!,0
27,2037,90,6.34848349,Hime-chan no Ribbon,0
27,9515,91,6.32852437,Highschool of the Dead: Drifters of the Dead,0
27,6045,92,6.302372,Kimi ni Todoke,0
27,18245,93,6.302372,White Album 2,0
27,587,94,6.302372,Hanbun no Tsuki ga Noboru Sora,0
27,6112,95,6.302372,Shin Koihime†Musou,0
27,12467,96,6.302372,Nazo no Kanojo X,0
27,17731,97,6.21312125,Ketsuekigata-kun!,0
27,3024,98,6.2121298,Ribbon no Kishi,0
27,4513,99,6.20117744,Hakujaden,0
27,33775,100,6.16797093,Soul Buster,1
27,1335,101,6.15698374,Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi,0
27,7705,102,6.15580635,Starry☆Sky,0
27,1068,103,6.08151021,Chou Denji Robo Combattler V,0
27,1435,104,6.04769802,Lupin III: Lupin vs. Fukusei-ningen,0
27,33027,105,6.04769802,Infini-T Force,0
27,3485,106,6.04769802,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Tachikoma na Hibi,0
27,1224,107,6.04769802,Aquarian Age: Sign for Evolution,1
27,39221,108,6.04363498,Bem,0
27,10521,109,5.99743993,Working'!!,1
27,157,110,5.99743993,Mahou Sensei Negima!,0
27,1070,111,5.99743993,Love Get Chu,0
27,5984,112,5.95627045,Ristorante Paradiso,0
27,570,113,5.94222426,Jin-Rou,0
27,12187,114,5.94222426,Carnival Phantasm EX Season,0
27,1952,115,5.93855817,Vampire Hunter,3
27,5039,116,5.91566232,Kurozuka,0
27,52,117,5.89085508,Kidou Tenshi Angelic Layer,5
27,20463,118,5.84036643,Little Nemo Pilot (1987),0
27,32827,119,5.83657711,B: The Beginning,0
27,20057,120,5.83608486,Space☆Dandy,1
27,1171,121,5.815417,Slayers Excellent,3
27,2451,122,5.81361865,Space Cobra,0
27,4447,123,5.79073587,Detective Conan Movie 12: Full Score of Fear,0
27,29617,124,5.79073587,Good-by Elvis and USA,0
27,29325,125,5.79073587,Koukaku Kidoutai Arise: Alternative Architecture,0
27,8109,126,5.78196731,Tottoko Hamtarou Movie 4: Hamtaro to Fushigi no Oni no Emon Tou,0
27,666,127,5.77549701,JoJo no Kimyou na Bouken,3
27,665,128,5.77549701,JoJo no Kimyou na Bouken: Adventure,3
27,2795,129,5.75065874,Dragonaut: The Resonance,1
27,2952,130,5.60969989,Final Fantasy VII: Advent Children Complete,0
27,2685,131,5.60037141,Tsubasa: Tokyo Revelations,0
27,690,132,5.58384521,Kyuuketsuhime Miyu (TV),2
27,6609,133,5.55471999,Pucca,0
27,1456,134,5.55471999,L/R: Licensed by Royal,0
27,43,135,5.52877218,Koukaku Kidoutai,0
27,17513,136,5.51069927,Diabolik Lovers,4
27,455,137,5.50980681,Fantastic Children,2
27,31227,138,5.4656141,Kindaichi Shounen no Jikenbo Returns 2nd Season,0
27,2130,139,5.4394449,Kaibutsu Oujo,3
27,21647,140,5.40022227,Tamako Love Story,0
27,37525,141,5.39739809,Babylon,0
27,34670,142,5.37932185,Monsuto Anime,0
27,209,143,5.37247296,R.O.D: The TV,0
27,32601,144,5.36682093,12-sai.: Chicchana Mune no Tokimeki,0
27,18001,145,5.33718952,Freezing Vibration,0
27,11597,146,5.30232482,Nisemonogatari,3
27,4214,147,5.30232482,Rosario to Vampire Capu2,5
27,766,148,5.29571205,Kishin Houkou Demonbane,0
27,724,149,5.25487428,Enzai,0
